|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9863234. 
Chain 1 : 200ms | 12	36	12
Chain 2 : 300ms | 18	54	18

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809831083653838-End@1726809831118015945-Cost:34362107(ns) and Route msg: 22]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809831106343683-End@1726809831124269252-Cost:17925569(ns) and Published msg: 15]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809831124434413-End@1726809831136414852-Cost:11980439(ns) and Received msg: 22]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809831118393498-End@1726809831167364089-Cost:48970591(ns) and Route msg: 23]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809831167668943-End@1726809831179598597-Cost:11929654(ns) and Received msg: 23]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809831136807930-End@1726809831189833957-Cost:53026027(ns) and Route msg: 15]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809831190119433-End@1726809831208038536-Cost:17919103(ns) and Received msg: 15]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809831283543879-End@1726809831295788205-Cost:12244326(ns) and Published msg: 24]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809831403713213-End@1726809831422053621-Cost:18340408(ns) and Published msg: 16]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809831403821946-End@1726809831453686367-Cost:49864421(ns) and Route msg: 24]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809831453972702-End@1726809831466190430-Cost:12217728(ns) and Received msg: 24]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809831422627322-End@1726809831475060468-Cost:52433146(ns) and Route msg: 16]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809831475274774-End@1726809831493615153-Cost:18340379(ns) and Received msg: 16]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809831483373837-End@1726809831495622300-Cost:12248463(ns) and Published msg: 25]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809831683498415-End@1726809831695732728-Cost:12234313(ns) and Published msg: 26]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809831683609860-End@1726809831718913471-Cost:35303611(ns) and Route msg: 25]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809831706656515-End@1726809831724974122-Cost:18317607(ns) and Published msg: 17]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809831725120071-End@1726809831737343908-Cost:12223837(ns) and Received msg: 25]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809831719715291-End@1726809831769678835-Cost:49963544(ns) and Route msg: 26]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809831769936024-End@1726809831782169050-Cost:12233026(ns) and Received msg: 26]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809831737782102-End@1726809831790325072-Cost:52542970(ns) and Route msg: 17]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809831790499500-End@1726809831808860181-Cost:18360681(ns) and Received msg: 17]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809831883429273-End@1726809831895671725-Cost:12242452(ns) and Published msg: 27]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809832003702470-End@1726809832021724704-Cost:18022234(ns) and Published msg: 18]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809832003796676-End@1726809832053276586-Cost:49479910(ns) and Route msg: 27]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809832053521716-End@1726809832065558455-Cost:12036739(ns) and Received msg: 27]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809832022225944-End@1726809832072033387-Cost:49807443(ns) and Route msg: 18]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809832072321251-End@1726809832090380268-Cost:18059017(ns) and Received msg: 18]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809832083495997-End@1726809832095731333-Cost:12235336(ns) and Published msg: 28]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809832283501436-End@1726809832295726491-Cost:12225055(ns) and Published msg: 29]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809832283640584-End@1726809832319137923-Cost:35497339(ns) and Route msg: 28]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809832305894763-End@1726809832323904542-Cost:18009779(ns) and Published msg: 19]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809832324063325-End@1726809832336114552-Cost:12051227(ns) and Received msg: 28]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809832319493579-End@1726809832365276377-Cost:45782798(ns) and Route msg: 29]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809832365575675-End@1726809832377583278-Cost:12007603(ns) and Received msg: 29]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809832336471423-End@1726809832389616847-Cost:53145424(ns) and Route msg: 19]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809832389838307-End@1726809832408215368-Cost:18377061(ns) and Received msg: 19]. 

