Linux 5.10.216-tegra (neu-desktop) 	01/01/1970 	_aarch64_	(12 CPU)

10:37:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:39:38 AM  1000      7672    8.00    5.00    0.00    1.00   13.00     5  two_node_pipeli
10:39:39 AM  1000      7672    8.00    5.00    0.00    1.00   13.00     6  two_node_pipeli
10:39:40 AM  1000      7672    7.00    6.00    0.00    0.00   13.00     7  two_node_pipeli
10:39:41 AM  1000      7672    9.00    3.00    0.00    1.00   12.00     4  two_node_pipeli
10:39:42 AM  1000      7672    8.00    3.00    0.00    1.00   11.00     8  two_node_pipeli
10:39:43 AM  1000      7672    7.00    4.00    0.00    1.00   11.00     7  two_node_pipeli
10:39:44 AM  1000      7672    8.00    6.00    0.00    1.00   14.00     9  two_node_pipeli
10:39:45 AM  1000      7672    8.00    4.00    0.00    1.00   12.00     5  two_node_pipeli
10:39:46 AM  1000      7672    7.00    4.00    0.00    0.00   11.00     4  two_node_pipeli
10:39:47 AM  1000      7672    6.00    5.00    0.00    1.00   11.00     8  two_node_pipeli
Average:     1000      7672    6.71    5.22    0.00    0.85   11.93     -  two_node_pipeli
