|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9915924. 
Chain 1 : 200ms | 13	13	13
Chain 2 : 300ms | 20	20	20
|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838069537608320-End@1726838069543834760-Cost:6226440(ns) and Received msg: 12]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838069605254664-End@1726838069614918870-Cost:9664206(ns) and Published msg: 8]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838069635825603-End@1726838069645491982-Cost:9666379(ns) and Route msg: 8]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838069666305740-End@1726838069675986100-Cost:9680360(ns) and Received msg: 8]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838069697529743-End@1726838069703812569-Cost:6282826(ns) and Published msg: 13]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838069725348419-End@1726838069731639134-Cost:6290715(ns) and Route msg: 13]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838069753171623-End@1726838069759451572-Cost:6279949(ns) and Received msg: 13]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838069885533190-End@1726838069891761394-Cost:6228204(ns) and Published msg: 14]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838069921558656-End@1726838069927838443-Cost:6279787(ns) and Route msg: 14]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838069941732532-End@1726838069955448961-Cost:13716429(ns) and Published msg: 9]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838069982121190-End@1726838069988424126-Cost:6302936(ns) and Received msg: 14]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838070000789196-End@1726838070010468090-Cost:9678894(ns) and Route msg: 9]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838070031425947-End@1726838070041090366-Cost:9664419(ns) and Received msg: 9]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838070084205445-End@1726838070090577885-Cost:6372440(ns) and Published msg: 15]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838070112090711-End@1726838070118459219-Cost:6368508(ns) and Route msg: 15]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838070139265228-End@1726838070145632965-Cost:6367737(ns) and Received msg: 15]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838070205739435-End@1726838070215551807-Cost:9812372(ns) and Published msg: 10]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838070237160166-End@1726838070246961804-Cost:9801638(ns) and Route msg: 10]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838070267932050-End@1726838070277730541-Cost:9798491(ns) and Received msg: 10]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838070298866142-End@1726838070305235713-Cost:6369571(ns) and Published msg: 16]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838070326382121-End@1726838070332762717-Cost:6380596(ns) and Route msg: 16]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838070353931211-End@1726838070360305228-Cost:6374017(ns) and Received msg: 16]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838070484712344-End@1726838070491083699-Cost:6371355(ns) and Published msg: 17]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838070522884555-End@1726838070529122051-Cost:6237496(ns) and Route msg: 17]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838070540912464-End@1726838070550461384-Cost:9548920(ns) and Published msg: 11]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838070583064009-End@1726838070589277698-Cost:6213689(ns) and Received msg: 17]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838070601477582-End@1726838070611037186-Cost:9559604(ns) and Route msg: 11]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838070633120878-End@1726838070642673601-Cost:9552723(ns) and Received msg: 11]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838070684552787-End@1726838070690920404-Cost:6367617(ns) and Published msg: 18]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838070712641887-End@1726838070719022672-Cost:6380785(ns) and Route msg: 18]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838070740005729-End@1726838070746362294-Cost:6356565(ns) and Received msg: 18]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838070805368146-End@1726838070815176433-Cost:9808287(ns) and Published msg: 12]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838070836580535-End@1726838070846395430-Cost:9814895(ns) and Route msg: 12]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838070866971546-End@1726838070876772750-Cost:9801204(ns) and Received msg: 12]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838070898191633-End@1726838070904560966-Cost:6369333(ns) and Published msg: 19]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838070925775811-End@1726838070932175450-Cost:6399639(ns) and Route msg: 19]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838070953110540-End@1726838070959480106-Cost:6369566(ns) and Received msg: 19]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838071084728376-End@1726838071090985443-Cost:6257067(ns) and Published msg: 20]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838071120947321-End@1726838071127204297-Cost:6256976(ns) and Route msg: 20]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838071141329199-End@1726838071155169193-Cost:13839994(ns) and Published msg: 13]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838071181842137-End@1726838071188080760-Cost:6238623(ns) and Received msg: 20]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838071200478563-End@1726838071210332568-Cost:9854005(ns) and Route msg: 13]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838071231675689-End@1726838071241300751-Cost:9625062(ns) and Received msg: 13]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838071284308438-End@1726838071290595759-Cost:6287321(ns) and Published msg: 21]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838071311993959-End@1726838071318282713-Cost:6288754(ns) and Route msg: 21]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838071339158666-End@1726838071345447861-Cost:6289195(ns) and Received msg: 21]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838071405763163-End@1726838071415577569-Cost:9814406(ns) and Published msg: 14]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838071436802909-End@1726838071446583263-Cost:9780354(ns) and Route msg: 14]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838071467014524-End@1726838071476828019-Cost:9813495(ns) and Received msg: 14]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838071497793717-End@1726838071504165478-Cost:6371761(ns) and Published msg: 22]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838071524772573-End@1726838071531133007-Cost:6360434(ns) and Route msg: 22]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838071551736380-End@1726838071558117703-Cost:6381323(ns) and Received msg: 22]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838071684463596-End@1726838071690825946-Cost:6362350(ns) and Published msg: 23]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838071722451819-End@1726838071728827375-Cost:6375556(ns) and Route msg: 23]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838071732645229-End@1726838071754928535-Cost:22283306(ns) and Published msg: 15]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838071787644728-End@1726838071799373874-Cost:11729146(ns) and Received msg: 23]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838071804274871-End@1726838071819550657-Cost:15275786(ns) and Route msg: 15]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838071841387275-End@1726838071851184296-Cost:9797021(ns) and Received msg: 15]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838071887292212-End@1726838071893679545-Cost:6387333(ns) and Published msg: 24]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838071914963967-End@1726838071921337643-Cost:6373676(ns) and Route msg: 24]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838071942705601-End@1726838071949077924-Cost:6372323(ns) and Received msg: 24]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838072005598662-End@1726838072015407183-Cost:9808521(ns) and Published msg: 16]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838072036937737-End@1726838072046721821-Cost:9784084(ns) and Route msg: 16]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838072068076005-End@1726838072077882126-Cost:9806121(ns) and Received msg: 16]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838072098988542-End@1726838072105368091-Cost:6379549(ns) and Published msg: 25]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838072126708504-End@1726838072133063575-Cost:6355071(ns) and Route msg: 25]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838072153754958-End@1726838072160138919-Cost:6383961(ns) and Received msg: 25]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838072285020161-End@1726838072291389973-Cost:6369812(ns) and Published msg: 26]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838072323824741-End@1726838072330203490-Cost:6378749(ns) and Route msg: 26]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838072342072985-End@1726838072351885441-Cost:9812456(ns) and Published msg: 17]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838072379579477-End@1726838072385949630-Cost:6370153(ns) and Received msg: 26]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838072399155831-End@1726838072408947359-Cost:9791528(ns) and Route msg: 17]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838072431261188-End@1726838072441067006-Cost:9805818(ns) and Received msg: 17]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838072484071519-End@1726838072490440499-Cost:6368980(ns) and Published msg: 27]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838072511636399-End@1726838072518014418-Cost:6378019(ns) and Route msg: 27]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838072538285153-End@1726838072544656502-Cost:6371349(ns) and Received msg: 27]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838072605021974-End@1726838072614822908-Cost:9800934(ns) and Published msg: 18]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838072635676240-End@1726838072645492462-Cost:9816222(ns) and Route msg: 18]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838072665769513-End@1726838072675579997-Cost:9810484(ns) and Received msg: 18]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838072696040300-End@1726838072702429757-Cost:6389457(ns) and Published msg: 28]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838072722892119-End@1726838072729272814-Cost:6380695(ns) and Route msg: 28]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838072749872188-End@1726838072756245063-Cost:6372875(ns) and Received msg: 28]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838072884648068-End@1726838072890948168-Cost:6300100(ns) and Published msg: 29]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838072922256688-End@1726838072928528481-Cost:6271793(ns) and Route msg: 29]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838072940189961-End@1726838072949855314-Cost:9665353(ns) and Published msg: 19]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838072980624309-End@1726838072986910058-Cost:6285749(ns) and Received msg: 29]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838072998570930-End@1726838073008244805-Cost:9673875(ns) and Route msg: 19]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838073028950057-End@1726838073038615740-Cost:9665683(ns) and Received msg: 19]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838073084667138-End@1726838073090982769-Cost:6315631(ns) and Published msg: 30]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838073112247708-End@1726838073118547394-Cost:6299686(ns) and Route msg: 30]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838073139111635-End@1726838073145402854-Cost:6291219(ns) and Received msg: 30]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838073205169707-End@1726838073214965210-Cost:9795503(ns) and Published msg: 20]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838073235943505-End@1726838073245764722-Cost:9821217(ns) and Route msg: 20]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838073266416296-End@1726838073276238033-Cost:9821737(ns) and Received msg: 20]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838073296991549-End@1726838073303371478-Cost:6379929(ns) and Published msg: 31]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838073324605946-End@1726838073331001664-Cost:6395718(ns) and Route msg: 31]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838073351958473-End@1726838073358343411-Cost:6384938(ns) and Received msg: 31]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838073484927970-End@1726838073491222956-Cost:6294986(ns) and Published msg: 32]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838073522006447-End@1726838073528235328-Cost:6228881(ns) and Route msg: 32]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838073540411084-End@1726838073550027548-Cost:9616464(ns) and Published msg: 21]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838073580873380-End@1726838073587080885-Cost:6207505(ns) and Received msg: 32]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838073598808888-End@1726838073608424569-Cost:9615681(ns) and Route msg: 21]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838073629290548-End@1726838073638888921-Cost:9598373(ns) and Received msg: 21]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838073684395724-End@1726838073690755014-Cost:6359290(ns) and Published msg: 33]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838073712078014-End@1726838073718451771-Cost:6373757(ns) and Route msg: 33]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838073739066220-End@1726838073745451694-Cost:6385474(ns) and Received msg: 33]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838073805313572-End@1726838073814971547-Cost:9657975(ns) and Published msg: 22]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838073836153282-End@1726838073845820368-Cost:9667086(ns) and Route msg: 22]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838073866444157-End@1726838073876106939-Cost:9662782(ns) and Received msg: 22]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838073896863388-End@1726838073903151431-Cost:6288043(ns) and Published msg: 34]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838073923921580-End@1726838073930226079-Cost:6304499(ns) and Route msg: 34]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838073950965778-End@1726838073957248992-Cost:6283214(ns) and Received msg: 34]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838074085415746-End@1726838074091695251-Cost:6279505(ns) and Published msg: 35]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838074123671631-End@1726838074129957746-Cost:6286115(ns) and Route msg: 35]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838074141617953-End@1726838074151294975-Cost:9677022(ns) and Published msg: 23]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838074182126359-End@1726838074188422963-Cost:6296604(ns) and Received msg: 35]. 

