|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9623883. 
Timer_missed : 1
Timer_missed : 2

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395455148137551-End@1726395455213339129-Cost:65201578(ns) and Published msg: 12]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395455202535123-End@1726395455250404640-Cost:47869517(ns) and Received msg: 13]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395455221900771-End@1726395455276602293-Cost:54701522(ns) and Route msg: 12]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455276896761-End@1726395455291857741-Cost:14960980(ns) and Received msg: 12]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395455250650343-End@1726395455315595058-Cost:64944715(ns) and Published msg: 14]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395455324536858-End@1726395455348357597-Cost:23820739(ns) and Route msg: 14]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395455348745132-End@1726395455358520283-Cost:9775151(ns) and Received msg: 14]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395455292921307-End@1726395455360482791-Cost:67561484(ns) and Published msg: 13]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395455365652024-End@1726395455416119855-Cost:50467831(ns) and Route msg: 13]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455416593139-End@1726395455423406544-Cost:6813405(ns) and Received msg: 13]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395455376243724-End@1726395455439457243-Cost:63213519(ns) and Published msg: 15]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395455441868966-End@1726395455458137886-Cost:16268920(ns) and Route msg: 15]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395455469405250-End@1726395455480707531-Cost:11302281(ns) and Received msg: 15]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395455458506083-End@1726395455514112542-Cost:55606459(ns) and Published msg: 14]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395455514401935-End@1726395455568187149-Cost:53785214(ns) and Route msg: 14]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455568483262-End@1726395455571936109-Cost:3452847(ns) and Received msg: 14]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395455529337470-End@1726395455578593368-Cost:49255898(ns) and Published msg: 16]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395455612015542-End@1726395455635317528-Cost:23301986(ns) and Route msg: 16]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395455635698405-End@1726395455643662454-Cost:7964049(ns) and Received msg: 16]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395455611935542-End@1726395455656599954-Cost:44664412(ns) and Published msg: 15]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395455670797579-End@1726395455711475148-Cost:40677569(ns) and Route msg: 15]. 

